LAT,LONG,Lng,Lat,Agency_Name,Address,Request_type,Description
43.0489191,-76.1517942,-76.1479,43.0093,"Garbage, Recycling & Graffiti","3138 Midland Ave Syracuse NY 13205, United States",Report Improperly Set Out Trash or Recycling (Illegal Setout),
43.0489191,-76.1517942,-76.1155,43.0393,"Garbage, Recycling & Graffiti","211 Clarke St Syracuse, New York, 13210",Report Litter on Private Land,Constituent called anonymously to report 10-15 bags of garbage on the side of this property. Stated that the bags have been there for weeks & have now been ripped open due the animals tearing the bags. 
43.0489191,-76.1517942,-76.1198,43.04,"Garbage, Recycling & Graffiti","Westcott Syracuse, New York",Report Improperly Set Out Trash or Recycling (Illegal Setout),Constituent called to report that the recycling and trash carts have been left out for multiple days in the Westcott area. 
43.0489191,-76.1517942,-76.1233,43.0382,"Garbage, Recycling & Graffiti","Lancaster Ave Syracuse, New York, 13210",Report Improperly Set Out Trash or Recycling (Illegal Setout),Constituent called to report that the recycling and trash carts have been left out for multiple days on this street. 
43.0489191,-76.1517942,-76.1397,42.9991,"Garbage, Recycling & Graffiti","111 Munson Dr Syracuse, New York, 13205",Report a Skipped Weekly Trash Pick Up,Skipped Thursday.  Still at curb.
43.0489191,-76.1517942,-76.1657,43.043,"Garbage, Recycling & Graffiti","525 Gifford St Syracuse, New York, 13204",Report a Skipped Weekly Trash Pick Up,Skipped friday.  Only got some of the street.
43.0489191,-76.1517942,-76.1761,43.036,"Garbage, Recycling & Graffiti","322 Rowland St Syracuse, New York, 13204",Report a Skipped Weekly Trash Pick Up,Skipped Friday.  Still out.
43.0489191,-76.1517942,-76.1872,43.0335,"Garbage, Recycling & Graffiti","1790–1798 W Onondaga St Syracuse NY 13204, United States",Report Litter on Public Land,
43.0489191,-76.1517942,-76.1732,43.0348,"Garbage, Recycling & Graffiti","311 Elliott St Syracuse NY 13204, United States",Report Improperly Set Out Trash or Recycling (Illegal Setout),
43.0489191,-76.1517942,-76.1437,43.0653,"Garbage, Recycling & Graffiti","106 Spring St Syracuse, New York, 13208",Report a Skipped Weekly Trash Pick Up,Skipped monday-still out
43.0489191,-76.1517942,-76.1202,43.0619,"Garbage, Recycling & Graffiti","502 Hixson Ave Syracuse, New York, 13206",Report a Skipped Weekly Trash Pick Up,skipped tuesday
43.0489191,-76.1517942,-76.1706,43.039,"Garbage, Recycling & Graffiti","209 Davis St Syracuse, New York, 13204",Report Improperly Set Out Trash or Recycling (Illegal Setout),garbage can and recycling plus a couch on the curb.  Trash day is Friday morning.
43.0489191,-76.1517942,-76.1107,43.0625,"Garbage, Recycling & Graffiti","347 Forest Hill Dr Syracuse, New York, 13206",Sanitation Exempt Skipped,"Constituent says her trash was skipped, "
43.0489191,-76.1517942,-76.1703,43.0334,"Garbage, Recycling & Graffiti","510 Dudley St Syracuse, NY 13204, USA",Report Litter on Private Land,510 Dudley does not keep the property clean has mounds of trash on the side of the house that's blowing into the street does not clean the snow from their sidewalk which is forcing children people with disabilities wheelchairs and elderly people in the street
43.0489191,-76.1517942,-76.1313,43.0483,"Garbage, Recycling & Graffiti","1212east E Fayette St Syracuse NY 13210, United States",Report Improperly Set Out Trash or Recycling (Illegal Setout),
43.0489191,-76.1517942,-76.1054,43.0425,"Garbage, Recycling & Graffiti","2901–2913 E Genesee St Syracuse NY 13224, United States",Trash Can on Public Land,
43.0489191,-76.1517942,-76.1607,43.0712,"Garbage, Recycling & Graffiti","1102 Carbon St Syracuse NY 13208, United States",Report a Skipped Recycling Pick Up,
43.0489191,-76.1517942,-76.1624,43.0734,"Garbage, Recycling & Graffiti","1522 Spring St Syracuse, New York, 13208",Tires,4 tires
